Offence;Region / City;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Any other kind of sexual offence (New from 2013);Silkeborg;0;0;0;0;0;0;0;2;0;4;8;6;2;4
Any other kind of sexual offence (New from 2013);Skanderborg;0;0;0;0;0;0;0;0;0;2;1;2;1;1
Any other kind of sexual offence (New from 2013);Syddjurs;0;0;0;0;0;0;0;1;0;0;0;3;1;1
Any other kind of sexual offence (New from 2013);Aarhus;0;0;0;0;0;0;2;1;3;15;12;12;19;10
Any other kind of sexual offence (New from 2013);Herning;0;0;0;0;0;0;3;4;0;1;3;2;2;6
Any other kind of sexual offence (New from 2013);Holstebro;0;0;0;0;0;0;1;1;1;1;4;5;0;2
Any other kind of sexual offence (New from 2013);Ikast-Brande;0;0;0;0;0;0;2;0;0;2;0;0;1;1
Any other kind of sexual offence (New from 2013);Lemvig;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of sexual offence (New from 2013);Ringkøbing-Skjern;0;0;0;0;0;0;0;0;0;1;1;2;0;7
Any other kind of sexual offence (New from 2013);Skive;0;0;0;0;0;0;1;0;2;1;1;3;2;0
Any other kind of sexual offence (New from 2013);Struer;0;0;0;0;0;0;0;0;0;3;1;2;1;0
Any other kind of sexual offence (New from 2013);Viborg;0;0;0;0;0;0;0;1;3;4;10;3;5;5
Any other kind of sexual offence (New from 2013);Brønderslev;0;0;0;0;0;0;0;1;0;3;1;2;1;0
Any other kind of sexual offence (New from 2013);Frederikshavn;0;0;0;0;0;0;1;0;1;0;2;3;4;2
Any other kind of sexual offence (New from 2013);Hjørring;0;0;0;0;0;0;0;2;2;3;1;3;4;3
Any other kind of sexual offence (New from 2013);Jammerbugt;0;0;0;0;0;0;0;0;1;0;1;2;1;0
Any other kind of sexual offence (New from 2013);Læsø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of sexual offence (New from 2013);Mariagerfjord;0;0;0;0;0;0;2;0;0;1;1;0;0;1
Any other kind of sexual offence (New from 2013);Morsø;0;0;0;0;0;0;0;0;0;0;1;1;0;1
Any other kind of sexual offence (New from 2013);Rebild;0;0;0;0;0;0;0;0;0;1;0;0;1;2
Any other kind of sexual offence (New from 2013);Thisted;0;0;0;0;0;0;0;0;2;3;1;1;5;2
Any other kind of sexual offence (New from 2013);Vesthimmerlands;0;0;0;0;0;0;2;0;1;1;1;0;0;3
Any other kind of sexual offence (New from 2013);Aalborg;0;0;0;0;0;0;2;2;5;11;9;10;23;10
Any other kind of sexual offence (New from 2013);Unknown municipality;0;0;0;0;0;0;2;5;11;15;7;27;17;13
Homosexual offence against a child under 12 (Repealed in 2013);Copenhagen;0;1;0;0;0;1;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Frederiksberg;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Dragør;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Tårnby;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Albertslund;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Ballerup;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Brøndby;3;0;0;0;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Gentofte;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Gladsaxe;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Glostrup;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Herlev;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Hvidovre;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Høje-Taastrup;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Ishøj;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Lyngby-Taarbæk;0;1;0;1;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Rødovre;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Vallensbæk;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Allerød;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Egedal;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Fredensborg;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Frederikssund;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Furesø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Gribskov;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Halsnæs;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Helsingør;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Hillerød;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Hørsholm;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Rudersdal;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Bornholm;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Christiansø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Greve;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Køge;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Lejre;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Roskilde;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Solrød;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Faxe;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Guldborgsund;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Holbæk;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Kalundborg;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Lolland;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Næstved;2;0;0;0;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Odsherred;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Ringsted;1;0;1;0;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Slagelse;0;1;0;0;0;0;1;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Sorø;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Stevns;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Vordingborg;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Assens;1;1;0;0;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Faaborg-Midtfyn;0;0;1;0;0;1;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Kerteminde;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Langeland;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Middelfart;1;0;0;1;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Nordfyns;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Nyborg;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Odense;0;0;0;0;0;0;2;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Svendborg;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Ærø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Billund;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Esbjerg;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Fanø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Fredericia;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Haderslev;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Kolding;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Sønderborg;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Tønder;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Varde;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Vejen;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Vejle;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Aabenraa;1;0;0;1;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Favrskov;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Hedensted;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Horsens;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Norddjurs;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Odder;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Randers;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Samsø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Silkeborg;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Skanderborg;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Syddjurs;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Aarhus;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Herning;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Holstebro;0;0;1;0;1;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Ikast-Brande;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Lemvig;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Ringkøbing-Skjern;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Skive;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Struer;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Viborg;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Brønderslev;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Frederikshavn;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Hjørring;0;0;0;0;0;5;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Jammerbugt;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Læsø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Mariagerfjord;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Morsø;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Rebild;0;0;1;0;0;1;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Thisted;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Vesthimmerlands;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Aalborg;0;0;0;2;0;0;0;0;0;0;0;0;0;0
Homosexual offence against a child under 12 (Repealed in 2013);Unknown municipality;0;2;0;0;1;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Copenhagen;1;1;1;1;0;1;1;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Frederiksberg;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Dragør;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Tårnby;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Albertslund;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Ballerup;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Brøndby;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Gentofte;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Gladsaxe;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Glostrup;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Herlev;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Hvidovre;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Høje-Taastrup;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Ishøj;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Lyngby-Taarbæk;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Rødovre;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Vallensbæk;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Allerød;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Egedal;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Fredensborg;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Frederikssund;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Furesø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Gribskov;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Halsnæs;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Helsingør;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Hillerød;2;0;0;0;0;1;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Hørsholm;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Rudersdal;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Bornholm;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Christiansø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Greve;0;0;2;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Køge;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Lejre;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Roskilde;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Solrød;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Faxe;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Guldborgsund;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Holbæk;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Kalundborg;4;1;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Lolland;1;0;0;0;0;0;1;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Næstved;2;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Odsherred;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Ringsted;0;0;0;0;3;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Slagelse;0;5;0;0;0;1;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Sorø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Stevns;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Vordingborg;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Assens;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Faaborg-Midtfyn;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Kerteminde;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Langeland;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Middelfart;0;0;1;0;4;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Nordfyns;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Nyborg;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Odense;0;2;1;0;0;0;1;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Svendborg;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Ærø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Billund;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Esbjerg;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Fanø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Fredericia;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Haderslev;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Kolding;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Sønderborg;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Tønder;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Varde;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Vejen;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Vejle;0;0;0;0;0;0;2;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Aabenraa;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Favrskov;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Hedensted;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Horsens;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Norddjurs;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Odder;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Randers;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Samsø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Silkeborg;0;0;0;0;1;2;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Skanderborg;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Syddjurs;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Aarhus;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Herning;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Holstebro;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Ikast-Brande;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Lemvig;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Ringkøbing-Skjern;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Skive;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Struer;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Viborg;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Brønderslev;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Frederikshavn;3;0;1;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Hjørring;1;0;1;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Jammerbugt;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Læsø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Mariagerfjord;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Morsø;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Rebild;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Thisted;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Vesthimmerlands;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Aalborg;2;1;0;2;0;1;0;0;0;0;0;0;0;0
Any other kind of homosexual offence (Repealed in 2013);Unknown municipality;1;0;0;0;3;1;0;0;0;0;0;0;0;0
Offence against public decency by groping;Copenhagen;28;55;36;37;50;44;61;49;115;105;101;123;120;152
Offence against public decency by groping;Frederiksberg;4;6;5;2;5;2;0;5;14;12;9;14;9;10
Offence against public decency by groping;Dragør;0;0;0;1;0;0;0;0;1;0;2;1;3;2
Offence against public decency by groping;Tårnby;1;5;1;2;0;2;4;3;27;6;4;4;4;11
Offence against public decency by groping;Albertslund;6;2;7;4;3;3;3;2;1;2;3;10;8;3
Offence against public decency by groping;Ballerup;8;4;3;3;2;6;4;2;4;7;4;8;12;6
Offence against public decency by groping;Brøndby;8;1;2;3;5;7;2;6;3;5;14;5;15;3
Offence against public decency by groping;Gentofte;3;2;2;2;5;0;4;4;5;1;15;12;6;8
Offence against public decency by groping;Gladsaxe;3;4;3;7;7;4;2;6;5;10;5;6;3;1
Offence against public decency by groping;Glostrup;0;2;3;5;3;5;4;3;0;0;3;6;4;4
Offence against public decency by groping;Herlev;5;2;4;6;1;2;10;3;1;2;3;5;3;2
Offence against public decency by groping;Hvidovre;3;6;0;5;7;0;2;2;1;5;5;7;3;12
Offence against public decency by groping;Høje-Taastrup;5;1;8;6;4;4;4;10;9;5;6;12;3;7
Offence against public decency by groping;Ishøj;7;1;3;0;2;3;4;0;1;0;1;1;2;4
Offence against public decency by groping;Lyngby-Taarbæk;2;1;9;1;2;3;5;1;1;10;30;3;7;8
Offence against public decency by groping;Rødovre;3;3;0;5;2;2;2;3;5;3;8;4;2;1
Offence against public decency by groping;Vallensbæk;1;0;1;1;4;1;1;0;3;0;3;0;2;1
Offence against public decency by groping;Allerød;3;2;2;1;1;4;1;0;1;3;1;8;2;2
Offence against public decency by groping;Egedal;1;6;1;2;3;2;2;3;2;2;3;7;4;2
Offence against public decency by groping;Fredensborg;1;1;7;5;6;0;2;3;1;5;1;3;2;5
Offence against public decency by groping;Frederikssund;5;5;2;3;8;8;1;2;0;7;2;3;4;9
Offence against public decency by groping;Furesø;2;0;1;1;3;2;0;2;3;5;3;5;4;4
Offence against public decency by groping;Gribskov;6;1;3;1;1;6;4;2;2;2;2;7;14;7
Offence against public decency by groping;Halsnæs;5;6;3;3;4;3;0;1;1;5;8;4;3;3
Offence against public decency by groping;Helsingør;7;4;12;5;4;7;4;4;3;9;11;6;11;11
Offence against public decency by groping;Hillerød;3;1;5;10;2;5;0;4;4;3;10;10;12;13
Offence against public decency by groping;Hørsholm;0;0;3;0;0;0;1;0;1;2;2;2;1;3
